,Tracks,URI
0,Prisoner,1gZADNt16Oh23jWyMYRk4p
1,Lyrics Lie,46IUSULlL2SAmyyHHpXQJz
2,Calentamiento Global,7Dju1FHuCiOlOkIXyNYKOU
3,Three Wishes,4f1UHjDNVil4WUop0Nkp8m
4,One in a Million,4MpXaXYhkGMw4gt3ZlS7sQ
5,Parody Catharsis,2BtNEbWuP3v4OQiEqcGQSf
6,Strawberry’s Wake,4dRNNBipJ6wwSEEwa4FfcY
7,Born To Fail,4iiD1bJ533OUgin3LoEm66
8,Parallels,0sBcytMq91qLPL7HRFOMS0
9,Night Sway,1Tkl58ouuDosumuf6XIbfT
10,Say Hi,5CgSbhQb8alq076PQmGcsQ
11,Nothing Shameful (feat. Andrew Wells),4PSMNdBxCQ02el8dYzjd7C
12,Into The Sunset (feat. Bilmuri),0njH70oSRQEpiACG5V3WpD
13,Untitled - Instrumental,4J39yzbQn393BrIvqlEdof
14,And I Told Them I Invented Times New Roman - Instrumental,3GjIB8IyK1sdn5LH9becgw
15,It's Safe To Say You Dig The Backseat - Instrumental,6UVweT4ZoVyhYS8Vgsm3Zx
16,Strawberry André - Instrumental,5QcAw5ybeQkORRGBlNinf1
17,Lemon Meringue Tie - Instrumental,7kNJBblLGJU390Xasfnco3
18,The Backwards Pumpkin Song - Instrumental,4QHgr50oRozf0Orf1SYx7g
19,Antlion - Instrumental,49pYzKq9EhpxZgFyuEvkJ7
20,"Turn Off The Lights, I'm Watching Back To The Future - Instrumental",4JdmklZM92SOo0QQNyI6bi
21,Open Your Eyes And Look North - Instrumental,6IY324unVCWlnQUDW4vVH1
22,"Surprise! I'm From Cuba, Everyone Has One Brain - Instrumental",0t0yBjKvjpxn2qiHua5HVF
23,"12 Hours, 630 Miles - Instrumental",4YyRkeCk3be8gEWuxD6ZMe
24,Jesus H. Macy,7pOPb4HbCI0o0Uk9g0TP0A
25,"The Robot with Human Hair, Pt. 4",3SGTMvCT1D9MCNo4RRphui
26,Acceptance Speech,7FZt9GEgjVQvF2DV3ZEEtP
27,Carve,3hcovt5ftpN3f7FL3KplLA
28,Doom & Gloom,54e9RnHu3srfQclZDKyPMm
29,"Strawberry Swisher, Pt. 3",46Pr274Tf20gS0vyts6AEA
30,Honey Revenge,6jOLXyWjsizISvk1YaY0UR
31,Demo Team,31sBgQcqpI0zsJUhwFSeJs
32,Death of the Robot with Human Hair,705xP529nka1EOEZ2ZXY0N
33,The Jiggler,5qYF2ditYEaAPYxepyMjlj
34,"Turn Off the Lights - I'm Watching Back to the Future, Pt. 2",2F3dBr8SRRdOdYkjZdL2Eu
35,Jesus H. Macy - Instrumental,4WU95BF9anELkIq869KbfL
36,"The Robot with Human Hair, Pt. 4 - Instrumental",5P9ZsXmXxeLmFvGwl997PH
37,Acceptance Speech - Instrumental,1F3QRGcxj3zfkwOGbNxuxu
38,Carve - Instrumental,1HKGM5KbW8fDtzBsYZXRdU
39,Doom & Gloom - Instrumental,0cLk2UmFr2cTykxQWTlIRe
40,"Strawberry Swisher, Pt. 3 - Instrumental",2CqwiuFofNQzvaoe0wYcCf
41,Honey Revenge - Instrumental,2f3BXaLSt7bmPkIODmvU1Q
42,Demo Team - Instrumental,3GnP9sp4MnMUvv2B8kdqf5
43,Death of the Robot with Human Hair - Instrumental,7yfaRzb4BfjsBDkuy3Vvbh
44,The Jiggler - Instrumental,4uEb6Qaz6IosQjJYZ4Hl01
45,"Turn Off the Lights - I'm Watching Back to the Future, Pt. 2 - Instrumental",4JdmklZM92SOo0QQNyI6bi
46,Son of Robot (Instrumental),6Zs791xpl9Wf9yeHtQJhSn
47,Midnight Crusade (Instrumental),7wak6al9Q90Upa8HzIl373
48,Suspended In This Disaster (Instrumental),2fXz2lLwGb88xhpZJPHHnd
49,Care (Instrumental),4QeVMEMwY8W8w1KFS87qou
50,Count Bassy (Instrumental),5DSf8Q25OJSsbAoE11bzYW
51,Flash (Instrumental),5kuktqoKZMcv2d6OybI66b
52,The Rattler (Instrumental),0x8zFpdxtL2aMKOOLMcDri
53,Shelf Life (Instrumental),3DTAtdGsqlGtKZCT7Z2reX
54,Slouch (Instrumental),3fLcy45unszmQxi7ofTw7K
55,Story Of My Bros (Instrumental),4DC8gWiAwV7dHSnhYm90DN
56,Hair Song (Instrumental),1yTYLF2UqbNxHvI2ELgvRS
57,Gospel Burnout (Instrumental),30ysj3Ild0a2JYLvCf0v5l
58,Bloodsucker (Instrumental),2jIaft2hlTbRsNofQi60cG
59,Evaporate (Instrumental),2GBO7CKysMWrgEMKhG1NZT
60,Son of Robot,3ZH8mv5AfnCUY7pxbO52uu
61,Midnight Crusade,4sykUbPIpLYRfZk1ljZcpj
62,Suspended In This Disaster,4KUAQglE3qVryAeCaElw3U
63,Care,4jDmJ51x1o9NZB5Nxxc7gY
64,Count Bassy,3jITkO2u1H36DMiMAMJWHj
65,Flash,31I3Rt1bPa2LrE74DdNizO
66,The Rattler,0dnrhLqgQNYnUWzWkSkdmy
67,Shelf Life,3AQQ5Qjg1L7oAurE0UazJe
68,Slouch,0cbAF0iJ9bqLtpNuEzeTA4
69,Story Of My Bros,3FiDgG1oTGWeCrAYLAse00
70,Hair Song,4RvDYd4R8lIqxGsdN8kiSH
71,Gospel Burnout,0l5nI3XRiv2fGrceyqj5pW
72,Bloodsucker,7qhPBop6SH3fx3GBhLGGJM
73,Evaporate,2z2HNwmZtwU7BCcAG0BbTA
74,Chucky vs. The Giant Tortoise,44Ssjb20kLO6FshLp0gNZE
75,Young Robot,72Y5nO5FCZtq0w7T5JGbys
76,Frozen One,2NyujP3B2W1RpTfI5LzvEW
77,Flossie Dickey Bounce,2TqImGvNpLbSsHj3plFndV
78,Deception,4NuFrArppAgXPZKCbImtiF
79,Inspire The Liars,2DdluBZleLq30PlfUAqSD5
80,Philosopher King,2kO4aqu6WvFTmYWvWQ00RO
81,Here Comes The Winner,6ecYDSxw4kgBE8wYkMUWFQ
82,Exposed,6KBzWbLbsRGidBWosNRDia
83,Betrayed By The Game,6EGzKC0sQr7fAbCCumah8l
84,Petting Zoo Justice,1B4UY3AHkFihZmowuofZfR
85,Chocolate Jackalope,6m1njvWGl1t1YSczTG8Nu1
86,Man Of The Year,7AvprzMsRJpybaalckaT8c
87,Chucky vs. The Giant Tortoise,44Ssjb20kLO6FshLp0gNZE
88,Young Robot,72Y5nO5FCZtq0w7T5JGbys
89,Frozen One,2NyujP3B2W1RpTfI5LzvEW
90,Flossie Dickey Bounce,2TqImGvNpLbSsHj3plFndV
91,Deception,4NuFrArppAgXPZKCbImtiF
92,Inspire the Liars,2DdluBZleLq30PlfUAqSD5
93,Philosopher King,2kO4aqu6WvFTmYWvWQ00RO
94,Here Comes the Winner,6ecYDSxw4kgBE8wYkMUWFQ
95,Exposed,6KBzWbLbsRGidBWosNRDia
96,Betrayed by the Game,6EGzKC0sQr7fAbCCumah8l
97,Petting Zoo Justice,1B4UY3AHkFihZmowuofZfR
98,Chocolate Jackalope,6m1njvWGl1t1YSczTG8Nu1
99,Man of the Year,7AvprzMsRJpybaalckaT8c
100,Alex English (Tree City Sessions),0OjppUs1VkouN9fG3S33Qh
101,The Robot With Human Hair Pt. 4 (Tree City Sessions),0aq1MJstQUIW09pWLikuPx
102,Tree Village (Tree City Sessions),5VJLNTOo5ZA56t3r1rs9mH
103,Lemon Meringue Tie (Tree City Sessions),1g9xBs5AQzcRHMoFK4AE2y
104,We Own The Night (Tree City Sessions),3k4c1P5MdwIMOF8hmDkmxy
105,Thug City (Tree City Sessions),6Ng3gtzKJoiaUkZSrBv3Gh
106,Carl Barker (Tree City Sessions),4nwqJ6OYIIrpTmiHLeBJl6
107,Death of a Strawberry (Tree City Sessions),7w8ZGImxaw9Jz6rJQyVQrt
108,The Jiggler (Tree City Sessions),13lvBvpBGNm0wmpGvHrZgJ
109,Me and Zoloft Get Along Just Fine (Tree City Sessions),2OHi49XcZK279IDOo0lOY6
110,Spooks (Tree City Sessions),3N8I4kNOVrdNwFWWhSXjiI
111,And I Told Them I Invented Times New Roman (Tree City Sessions),2lBDmSTtYZZgoevH9DmpFW
112,We Own The Night,4rc2WNOt2w8BHfQjBC8PO0
113,"Stroke God, Millionaire",44cVmdFQrPS3skiJx26OOS
114,Something New,6u8hSdYZxbK5EczDPRIXXf
115,On The Run,73OIUNKRi2y24Cu9cOLrzM
116,Shark Dad,5sF5gLEF2AJ71ika5h5DUy
117,Awkward,1JJW0dKiXHMijMhcRvKOoa
118,The Cuddler,6bODP2qIJ5gjPiFWbY0EZu
119,Legend,1Knctxx9vGZxpZfF66BIEa
120,Eagle vs. Crows,0augziIKImeQunsf8k6Jdv
121,Death Of A Strawberry,0ZcQUwVyXgpUepJsvgOYgk
122,Variation,4HnycT5Y3USQV3kRG8N7QD
123,Lost,3GZD6HmiNUhxXYf8Gch723
124,We Own The Night,4rc2WNOt2w8BHfQjBC8PO0
125,"Stroke God, Millionaire",44cVmdFQrPS3skiJx26OOS
126,Something New,6u8hSdYZxbK5EczDPRIXXf
127,On The Run,73OIUNKRi2y24Cu9cOLrzM
128,Shark Dad,5sF5gLEF2AJ71ika5h5DUy
129,Awkward,1JJW0dKiXHMijMhcRvKOoa
130,The Cuddler,6bODP2qIJ5gjPiFWbY0EZu
131,Legend,1Knctxx9vGZxpZfF66BIEa
132,Eagle vs. Crows,0augziIKImeQunsf8k6Jdv
133,Death Of A Strawberry,0ZcQUwVyXgpUepJsvgOYgk
134,Variation,4HnycT5Y3USQV3kRG8N7QD
135,Lost,3GZD6HmiNUhxXYf8Gch723
136,Jesus H. Macy,7pOPb4HbCI0o0Uk9g0TP0A
137,The Robot with Human Hair pt. 4,3SGTMvCT1D9MCNo4RRphui
138,Acceptance Speech,7FZt9GEgjVQvF2DV3ZEEtP
139,Carve,3hcovt5ftpN3f7FL3KplLA
140,Doom & Gloom,54e9RnHu3srfQclZDKyPMm
141,Strawberry Swisher pt. 3,46Pr274Tf20gS0vyts6AEA
142,Honey Revenge,6jOLXyWjsizISvk1YaY0UR
143,Demo Team,31sBgQcqpI0zsJUhwFSeJs
144,Death of the Robot with Human Hair,705xP529nka1EOEZ2ZXY0N
145,The Jiggler,5qYF2ditYEaAPYxepyMjlj
146,Turn Off the Lights. I'm Watching Back to the Future pt. II,0FKLCBmmU7eqW87zz8nyYp
147,Spooks,5uDASfU19gDxSjW8cnCaBp
148,Pounce Bounce,5lAzUxScyDnBzYrTPcRnZt
149,The Robot with Human Hair Pt.2 1/2,3fnXNdOZGcVenIdsQLwy0O
150,Thug City,5fKMfImbn4pSuCAovKFYxU
151,Need Money,1I8lFEd6a0Yky32zVlKQlU
152,Elder Goose,16NYUGnNu5HaoHTJsNge7b
153,Heat Seeking Ghost Of Sex,7JIpW6RA7kBfkNkzD7Si0o
154,Blue Dream,4Y8MG7qcAMk7JB7Eebpcvu
155,Privilously Poncheezied,3GFTyJiJXMWG55i00JVLPq
156,Swan Soup,3WhuD8efsWhfdmkR8p6jfN
157,Purple Reign,3E2i7xoT542yQ59bP2vBbF
158,Spooks (Instrumental),0NHyRoWIDGNa44ihRPOfnA
159,Pounce Bounce (Instrumental),6J1McwVKFYyo2QXthUOiRM
160,"The Robot With Human Hair, Pt. 2 1/2 (Instrumental)",7BEnYh8xBjgUcJRAvpkepn
161,Thug City (Instrumental),5ZR9dNkOdLCDIq2nKwaWuI
162,Need Money (Instrumental),35k0l8sS08w8F8jl89orkq
163,Elder Goose (Instrumental),0Ki9sQsdxAu9ueWfsQOp7R
164,Heat Seeking Ghost Of Sex (Instrumental),2bvHZuqD1EaUTScMgQHOCT
165,Blue Dream (Instrumental),1seHWJRobuDaYUesnFiDMk
166,Privilously Poncheezied (Instrumental),1X47hDnv4k0dSGAREF7Wlk
167,Swan Soup (Instrumental),3bMc60YpDlHQT8ramxJQgG
168,Purple Reign (Instrumental),6zKjMEGdVhUBGgdeLwQWew
169,Tree Village,0C9d07g8OTaJeZVVmjN0pS
170,NASA,4uTvPEr01pjTbZgl7jcKBD
171,I'm Down With Brown Town,2zqx2W2XgiGJugPSksaEHC
172,Carl Barker,13WVHU27imCbQCtL9CywoB
173,Happiness,2rXVtoLBHuXcNB5DVfIc9p
174,Self-Trepanation,4RytClnXCUnxSjgQqSqYCQ
175,"Strawberry Swisher, Pt. 1",41gTdox7kzBEcT7PIz9bHH
176,Don't Tell Dave,6A8Wbjp5vNel5wO7mj1rfq
177,"Strawberry Swisher, Pt. 2",2ZULQgyL9b282vQwHEvVFU
178,Powder to the People,07QERwBDKmUPDaQfseaCAR
179,Tree Village - Instrumental,4BSYMVOvMdmPIUW8Fv7PRU
180,NASA - Instrumental,24uobVdyJG7SebcUfGN2yb
181,I'm Down With Brown Town - Instrumental,4aoXAni219M54A8nMA13qV
182,Carl Barker - Instrumental,79ALWpxM10LunH5oVgMALk
183,Happiness - Instrumental,0yBslbwGBFYHfmvT8XAm8f
184,Self-Trepanation - Instrumental,4P3rLji4dfRSFvduVmT4eI
185,"Strawberry Swisher, Pt. 1 - Instrumental",5YvExg02nO2VBQRrH9nN8n
186,Don't Tell Dave - Instrumental,4HmnHrLrb0VAfxzy8K4LxA
187,"Strawberry Swisher, Pt. 2 - Instrumental",5zaY5K9TzaQCY5z03LYSgi
188,Powder To The People - Instrumental,10mH76unzmkwT0bvh1TMO0
189,Alex English (Instrumental),325utTUD08j6669XfESj0d
190,Buffalo! (Instrumental),3mWdvkm8RbMr1d5Q2Jk4N5
191,Me And Zoloft Get Along Just Fine (Instrumental),1JPF4rEzBHgo6tBmaVvb5X
192,"The Robot With Human Hair, Pt. 3 (Instrumental)",1WOHz4BRU2qxcscBYayYnc
193,Hot Water On Wool (Instrumental),6TVpSH8e9APor3uu1gYgGT
194,Hot Water On Wool (Reprise) (Instrumental),2hXu2Ss7xbzr2ZAt3hm9ov
195,Uneasy Hearts Weigh The Most (Instrumental),17zu4pWDFMPbGzxRYnXpSr
196,Caviar (Instrumental),5HuxTQ7IOqheogOUU2y9S6
197,Rock Solid (Instrumental),1RkVw6ayY0yXIdeIiiAuzl
198,"Burning Down The Nicotine Armoire, Pt. 2 (Instrumental)",5W93ERElogOf7l2xYXd2Th
199,Reprogramming Mental Preprogramming (Instrumental),56wMjpDjqKeyS6wWUdFXA8
200,Skyhook (Instrumental),3JpnSqetT4k0Dt0Y8wKfUK
201,People You Know (Instrumental),41NxmQd2xjF2LD8V4Cb1iS
202,Alex English,3YLLuIBPtGTM3za2jwzNyQ
203,Buffalo!,7BfW1eoDh27W69nxsmRicb
204,Me And Zoloft Get Along Just Fine,6oSGyGFg9NQsLHa7NwmoZX
205,"The Robot With Human Hair, Pt. 3",6ECoBA8Bd7wTJ8ETLkjTYv
206,Hot Water On Wool,077QDHQeq77FiOnaVfcqy1
207,Hot Water On Wool,077QDHQeq77FiOnaVfcqy1
208,Uneasy Hearts Weigh The Most,5oC0AAgJ7RoWOT3HznLMe1
209,Caviar (feat. Chino Moreno),3AUs0Ol4vV1lZRRxFYBrqC
210,Rock Solid,1TK0tl3nJDSBEqA4H0aKEr
211,"Burning Down The Nicotine Armoire, Pt. 2",70J1mv1MYOLcteqTmKl2qH
212,Reprogramming Mental Preprogramming,3LbhK6dqNTEWJ69kaJoZVV
213,Skyhook,2BoP5NbhIvr9tZBPlun8Kb
214,People You Know,63mdJr3NMY3wReOkNE6c6W
215,Untitled,3tCBeat5YZBwLf61yoQJ9v
216,And I Told Them I Invented Times New Roman,7CR0CfMEC6BZBuYLaKSbu9
217,It's Safe to Say You Dig the Backseat,6yNPib6o5My96jprY8FmaC
218,Strawberry André,6f7MV1OxphVSLCPZ61BYdo
219,Lemon Meringue Tie,3Mhzw3bnqekjw2leE9Yn26
220,The Backwards Pumpkin Song,2E8fQZeUlkBSIzfuRLxejE
221,Antlion,4EuFKpab7bYbS6P9kl4v9Q
222,"Turn Off the Lights, I'm Watching Back to the Future",0FKLCBmmU7eqW87zz8nyYp
223,Open Your Eyes and Look North,2GkL4dFnKdm6LuoMJnWZCR
224,"Surprise! I'm From Cuba, Everyone Has One Brain",3zsAME3aA38bPMZtm0KOKZ
225,"12 Hours, 630 Miles",2kBuJJWIUPZoU8cWq72vpY
226,Three Wishes,4f1UHjDNVil4WUop0Nkp8m
227,Lyrics Lie,46IUSULlL2SAmyyHHpXQJz
228,Strawberry’s Wake,4dRNNBipJ6wwSEEwa4FfcY
229,Prisoner,1gZADNt16Oh23jWyMYRk4p
230,Lyrics Lie,46IUSULlL2SAmyyHHpXQJz
231,Strawberry’s Wake,4dRNNBipJ6wwSEEwa4FfcY
232,Prisoner,1gZADNt16Oh23jWyMYRk4p
233,Strawberry’s Wake,4dRNNBipJ6wwSEEwa4FfcY
234,Prisoner,1gZADNt16Oh23jWyMYRk4p
235,Blood Wolf,2a8NBThJj28YrJIqDzYJsB
236,Story Of My Bros - Acoustic,4lHy961n9KMbzwOM4ewgHP
237,People You Knew,0q4H7RFhZp5RTxDYK36au0
238,Perfect,5jbDih9bLGmI8ycUKkN5XA
239,Head Hunter,5HllOy0J5LuH96EzMLGCPe
240,Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl
241,Care,4jDmJ51x1o9NZB5Nxxc7gY
242,Son of Robot,3ZH8mv5AfnCUY7pxbO52uu
243,Midnight Crusade,4sykUbPIpLYRfZk1ljZcpj
244,Summertime Gladness,639JHsrGV8A9qUYSXhOwsw
245,Betrayed By The Game,6EGzKC0sQr7fAbCCumah8l
246,Chucky vs. The Giant Tortoise,44Ssjb20kLO6FshLp0gNZE
247,Lemon Meringue Tie (Tree City Sessions),1g9xBs5AQzcRHMoFK4AE2y
248,Alex English (Tree City Sessions),0OjppUs1VkouN9fG3S33Qh
249,We Own The Night,4rc2WNOt2w8BHfQjBC8PO0
250,On The Run,73OIUNKRi2y24Cu9cOLrzM
251,Pussy Vultures,1nMubX5eLqC7yFiSQ5joFW
252,Whatever I Say Is Royal Ocean,5Y5b41SrbJLffGqpQ5fiXo
253,"The Robot With Human Hair, Pt. 1",0NYcygOHx7sERmo3dCl9jp
254,The Robot vs. Heroin Battle Of Vietnam,3nH0jsUv0Lb6blcGk7yiUj
255,"Tidal Waves: Breakfast, Lunch And Dinner",59ib4E4ZWwVMLOmJsXIgHQ
256,The Importance Of Cocaine,7h1Yytl4qOfrd9gpkONGUA
257,"The Robot With Human Hair, Pt. 2",3fnXNdOZGcVenIdsQLwy0O
258,Burning Down The Nicotine Armoire,70J1mv1MYOLcteqTmKl2qH
